locality	sites	lat	long	lvl_exposure	type_reef	municipio	total_pop_DANE	total_fisherman	pro_level	fishing_magnament	distance_market_km	age	year
cabo_marzo	la_foca	6.785	-77.693	exposed	rocky_reef	jurado	3428	32	not	zemp_zepa	37.7	0	2015
cabo_marzo	piedra_eroito	6.814	-77.692	exposed	rocky_reef	jurado	3428	32	not	zemp_zepa	32.6	0	2015
cabo_marzo	piedra_rodrigo	6.783	-77.693	exposed	rocky_reef	jurado	3428	32	not	zemp_zepa	37.84	0	2015
cabo_marzo	punta_faro	6.824	-77.689	exposed	rocky_reef	jurado	3428	32	not	zemp_zepa	32	0	2015
cupica	la_viuda	6.633	-77499	sheltered	rocky_reef	jurado	3428	32	not	zemp_zepa	46.9	0	2016
cupica	la_mina	6.686	-77.549	exposed	rocky_reef	jurado	3428	32	not	zemp_zepa	54.3	0	2016
cupica	chicocora	6.679	-77.427	sheltered	rocky_reef	bahia_solano	3428	32	not	zemp_zepa	51.7	0	2016
cupica	parguera_cup	6.691	-77.541	exposed	rocky_reef	jurado	3428	32	not	zemp_zepa	54.6	0	2016
cupica	piedra_lalo	6.644	-77.524	exposed	rocky_reef	jurado	3428	32	not	zemp_zepa	59.6	0	2016
golfo_tribuga	morromico	5.871	-77.31	exposed	rocky_reef	nuqui	8187	1398	pnn	not	18.9	10	2015
golfo_tribuga	morros_jurubida	5.813	-77.297	exposed	rocky_reef	nuqui	8187	1398	drmi_ctcc	not	12.2	10	2015
golfo_tribuga	punta_orion	5.93	-77.355	exposed	rocky_reef	nuqui	8187	1398	drmi_ctcc	not	26.7	10	2015
bahia_solano	piedra_de_zapata	6.369	-77.435	exposed	rocky_reef	bahia_solano	9244	1305	not	zemp_zepa	16	0	2015
bahia_solano	piedra_del_norte	6.316	-77.477	exposed	rocky_reef	bahia_solano	9244	1305	not	zemp_zepa	13	0	2015
cabo_corrientes	amargal	5.579	-77.514	exposed	rocky_reef	nuqui	8187	1398	drmi_ctcc	not	31.5	10	2016
cabo_corrientes	parguera2	5.609	-77.504	exposed	rocky_reef	nuqui	8187	1398	drmi_ctcc	not	28.4	10	2016
cabo_corrientes	piedra_bonita	5.594	-77.503	exposed	rocky_reef	nuqui	8187	1398	drmi_ctcc	not	29.5	10	2016
cabo_corrientes	piedra_oswaldo	5.544	-77.515	exposed	rocky_reef	nuqui	8187	1398	drmi_ctcc	not	35.2	10	2016
cabo_corrientes	punta_arusi	5.611	-77.485	exposed	rocky_reef	nuqui	8187	1398	drmi_ctcc	not	26.6	10	2016
cabo_corrientes	ronosa	5.585	-77.514	exposed	rocky_reef	nuqui	8187	1398	drmi_ctcc	not	31	10	2016
cabo_corrientes	piedra_colo	5.503	-77.533	exposed	rocky_reef	nuqui	8187	1398	drmi_ctcc	not	40	10	2016
gorgona	azufrada	2.95	-78.178	sheltered	coral_reef	guapi	40	0	pnn	not	59	39	2006
gorgona	el_laberinto	3.004	-78.168	exposed	rocky_reef	guapi	40	0	pnn	not	63	39	2016
gorgona	el_muelle	2.961	-78.174	sheltered	rocky_reef	guapi	40	0	pnn	not	59.7	39	2006
malpelo	arrecife	4.004	-81.604	sheltered	coral_reef	buenaventura	4	0	pnn	not	506	29	2015
malpelo	bajo_del_junior	3.998	-81.612	exposed	rocky_reef	buenaventura	4	0	pnn	not	507	29	2015
malpelo	la_nevera	4.002	-81.611	sheltered	rocky_reef	buenaventura	4	0	pnn	not	508	29	2015
malpelo	pared_del_naufrago	4.007	-81.606	exposed	rocky_reef	buenaventura	4	0	pnn	not	506	29	2015
